job_id,start_time,phase,duration_sec,arrival_time_scaled,cpu_percent,estimated_temp_raw,estimated_temp_smoothed,memory_requested_MB,action_id,action_name,deadline_sec,elapsed_sec,sla_violation,migration_cost,reward
178,12:37:22,baseline,44.000000,0.000000,43.800000,61.900000,61.900000,2048.000000,-1,fifo,52.800000,0.017920,0,0.000000,-6.190000
88,12:37:22,baseline,9.000000,0.000000,0.000000,40.000000,57.520000,512.000000,-1,fifo,10.800000,0.016346,0,0.000000,-5.752000
347,12:37:22,baseline,58.000000,0.000000,0.000000,40.000000,54.016000,256.000000,-1,fifo,69.600000,0.013863,0,0.000000,-5.401600
80,12:37:22,baseline,51.000000,0.000000,83.300000,81.650000,59.542800,256.000000,-1,fifo,61.200000,0.014199,0,0.000000,-5.954280
4,12:37:22,baseline,28.000000,0.100000,43.800000,61.900000,60.014240,512.000000,-1,fifo,33.600000,0.019763,0,0.000000,-6.001424
464,12:37:22,baseline,33.000000,0.100000,25.000000,52.500000,58.511392,2048.000000,-1,fifo,39.600000,0.015700,0,0.000000,-5.851139
48,12:37:22,baseline,5.000000,0.100000,0.000000,40.000000,54.809114,2048.000000,-1,fifo,6.000000,0.014150,0,0.000000,-5.480911
479,12:37:22,baseline,28.000000,0.200000,0.000000,40.000000,51.847291,512.000000,-1,fifo,33.600000,0.013898,0,0.000000,-5.184729
265,12:37:22,baseline,49.000000,0.200000,0.000000,40.000000,49.477833,512.000000,-1,fifo,58.800000,0.013878,0,0.000000,-4.947783
272,12:37:22,baseline,10.000000,0.200000,47.400000,63.700000,52.322266,256.000000,-1,fifo,12.000000,0.013873,0,0.000000,-5.232227
401,12:37:22,baseline,26.000000,0.200000,53.300000,66.650000,55.187813,2048.000000,-1,fifo,31.200000,0.016245,0,0.000000,-5.518781
493,12:37:22,baseline,43.000000,0.300000,25.000000,52.500000,54.650250,1024.000000,-1,fifo,51.600000,0.019750,0,0.000000,-5.465025
478,12:37:22,baseline,49.000000,0.300000,0.000000,40.000000,51.720200,2048.000000,-1,fifo,58.800000,0.013888,0,0.000000,-5.172020
173,12:37:23,baseline,27.000000,0.400000,10.000000,45.000000,50.376160,512.000000,-1,fifo,32.400000,0.013905,0,0.000000,-5.037616
149,12:37:23,baseline,22.000000,0.400000,0.000000,40.000000,48.300928,4096.000000,-1,fifo,26.400000,0.013897,0,0.000000,-4.830093
407,12:37:23,baseline,24.000000,0.400000,9.100000,44.550000,47.550743,2048.000000,-1,fifo,28.800000,0.017171,0,0.000000,-4.755074
222,12:37:23,baseline,37.000000,0.600000,33.300000,56.650000,49.370594,1024.000000,-1,fifo,44.400000,0.019808,0,0.000000,-4.937059
58,12:37:23,baseline,31.000000,0.700000,25.000000,52.500000,49.996475,4096.000000,-1,fifo,37.200000,0.017706,0,0.000000,-4.999648
357,12:37:23,baseline,33.000000,0.700000,0.000000,40.000000,47.997180,4096.000000,-1,fifo,39.600000,0.019533,0,0.000000,-4.799718
444,12:37:23,baseline,26.000000,0.700000,0.000000,40.000000,46.397744,256.000000,-1,fifo,31.200000,0.013887,0,0.000000,-4.639774
74,12:37:23,baseline,57.000000,0.700000,0.000000,40.000000,45.118195,2048.000000,-1,fifo,68.400000,0.013888,0,0.000000,-4.511820
