temp_component,sla_component,cost_component
4.545000000000001,0.0,0.0
4.0,0.0,0.0
4.115,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.15,0.0,0.0
4.0,0.0,0.0
4.19,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.075,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.155,0.0,0.0
4.82,0.0,0.0
4.075,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.88,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.19,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.495,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.53,0.0,0.0
4.0,0.0,0.0
4.15,0.0,0.0
4.155,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.195,0.0,0.0
4.615,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.155,0.0,0.0
4.115,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.08,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.470000000000001,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.04,0.0,0.0
4.0,0.0,0.0
4.19,0.0,0.0
4.0,0.0,0.0
4.04,0.0,0.0
4.2250000000000005,0.0,0.0
4.0,0.0,0.0
5.260000000000001,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.115,0.0,0.0
4.19,0.0,0.0
